,PROP_TYPE_EN,AREA_EN,ACTUAL_AREA,count_total,sum_total,mean_total,count_sale,sum_sale,mean_sale,SSI
223,Unit,JUMEIRAH VILLAGE CIRCLE,77.22,1,965003.0,965003.0,1,965003.0,965003.0,1.0
224,Unit,JUMEIRAH VILLAGE CIRCLE,77.28,1,800000.0,800000.0,1,800000.0,800000.0,1.0
225,Unit,JUMEIRAH VILLAGE CIRCLE,77.58,1,988163.0,988163.0,1,988163.0,988163.0,1.0
226,Unit,JUMEIRAH VILLAGE CIRCLE,83.33,1,1019040.0,1019040.0,1,1019040.0,1019040.0,1.0
227,Unit,JUMEIRAH VILLAGE CIRCLE,86.56,1,750000.0,750000.0,1,750000.0,750000.0,1.0
228,Unit,JUMEIRAH VILLAGE CIRCLE,92.39,1,1016148.0,1016148.0,1,1016148.0,1016148.0,1.0
229,Unit,JUMEIRAH VILLAGE CIRCLE,97.2,2,1700160.0,850080.0,1,920000.0,920000.0,0.5
230,Unit,JUMEIRAH VILLAGE CIRCLE,103.65,2,1573556.22,786778.11,2,1573556.22,786778.11,1.0
231,Unit,JUMEIRAH VILLAGE CIRCLE,104.48,2,2250000.0,1125000.0,1,1500000.0,1500000.0,0.5
232,Unit,JUMEIRAH VILLAGE CIRCLE,117.09,2,2835000.0,1417500.0,1,1650000.0,1650000.0,0.5
233,Unit,JUMEIRAH VILLAGE CIRCLE,133.15,2,2400000.0,1200000.0,1,1900000.0,1900000.0,0.5
234,Unit,JUMEIRAH VILLAGE TRIANGLE,91.37,1,1213457.0,1213457.0,1,1213457.0,1213457.0,1.0
235,Unit,LA MER,77.49,2,5069600.0,2534800.0,1,2780000.0,2780000.0,0.5
236,Unit,LIWAN,90.33,2,975200.0,487600.0,1,530000.0,530000.0,0.5
237,Unit,LIWAN,128.95,2,2587698.0,1293849.0,1,1422188.0,1422188.0,0.5
238,Unit,MBR DISTRICT 7,38.44,2,1262400.0,631200.0,1,690000.0,690000.0,0.5
239,Unit,MBR DISTRICT 7,83.3,2,2500998.0,1250499.0,1,1350000.0,1350000.0,0.5
240,Unit,MEYDAN ONE,34.78,2,1182720.0,591360.0,1,640000.0,640000.0,0.5
241,Unit,MEYDAN ONE,37.13,1,600000.0,600000.0,1,600000.0,600000.0,1.0
242,Unit,MEYDAN ONE,38.58,1,670000.0,670000.0,1,670000.0,670000.0,1.0
243,Unit,MEYDAN ONE,40.68,1,728129.0,728129.0,1,728129.0,728129.0,1.0
244,Unit,MEYDAN ONE,41.39,1,620000.0,620000.0,1,620000.0,620000.0,1.0
245,Unit,MEYDAN ONE,55.53,1,887000.0,887000.0,1,887000.0,887000.0,1.0
246,Unit,MEYDAN ONE,79.2,1,1138000.0,1138000.0,1,1138000.0,1138000.0,1.0
247,Unit,MEYDAN ONE,103.57,1,1432000.0,1432000.0,1,1432000.0,1432000.0,1.0
248,Unit,MOTOR CITY,212.28,1,2500000.0,2500000.0,1,2500000.0,2500000.0,1.0
249,Unit,MOTOR CITY,224.17,1,1609438.0,1609438.0,1,1609438.0,1609438.0,1.0
250,Unit,Madinat Dubai Almelaheyah,161.56,1,3482888.0,3482888.0,1,3482888.0,3482888.0,1.0
251,Unit,Marsa Dubai,201.74,2,21628397.97,10814198.985,2,21628397.97,10814198.985,1.0
252,Unit,Mirdif,50.39,1,600000.0,600000.0,1,600000.0,600000.0,1.0
253,Unit,Mirdif,73.97,2,1980720.0,990360.0,1,1070000.0,1070000.0,0.5
254,Unit,Nad Al Hamar,137.96,2,2633400.0,1316700.0,1,1425000.0,1425000.0,0.5
255,Unit,PALM JUMEIRAH,32.93,1,1200000.0,1200000.0,1,1200000.0,1200000.0,1.0
256,Unit,PALM JUMEIRAH,32.96,1,1150000.0,1150000.0,1,1150000.0,1150000.0,1.0
257,Unit,PALM JUMEIRAH,69.12,2,3169360.0,1584680.0,1,1730000.0,1730000.0,0.5
258,Unit,PALM JUMEIRAH,107.6,2,3844600.0,1922300.0,1,2350000.0,2350000.0,0.5
259,Unit,PALM JUMEIRAH,124.32,2,6660000.0,3330000.0,1,3700000.0,3700000.0,0.5
260,Unit,PALM JUMEIRAH,158.79,2,7369225.0,3684612.5,1,4500000.0,4500000.0,0.5
261,Unit,PALM JUMEIRAH,165.09,1,4500000.0,4500000.0,1,4500000.0,4500000.0,1.0
262,Unit,PALM JUMEIRAH,167.83,1,3150000.0,3150000.0,1,3150000.0,3150000.0,1.0
263,Unit,PALM JUMEIRAH,203.72,1,8300000.0,8300000.0,1,8300000.0,8300000.0,1.0
264,Unit,PALM JUMEIRAH,222.22,1,10000000.0,10000000.0,1,10000000.0,10000000.0,1.0
265,Unit,REMRAAM,35.95,1,320000.0,320000.0,1,320000.0,320000.0,1.0
266,Unit,REMRAAM,61.79,1,490000.0,490000.0,1,490000.0,490000.0,1.0
267,Unit,REMRAAM,71.89,2,1172480.0,586240.0,1,640000.0,640000.0,0.5
268,Unit,REMRAAM,113.19,2,2362270.0,1181135.0,1,1275000.0,1275000.0,0.5
